CE,RE,RJ,MA,MB,PC,PS,AL,MI
280000000000000.12,1941861.3567919356,1941861.356791696,3.0627691666520854e+32,3.085648837390962e+32,2.438539906774238e-07,1.3273787254379115e-07,-2.762264943590916e-06,7.343304750769872e+43
281910728402064.8,1919760.0816483411,1919760.0816481004,3.0933470723329325e+32,3.1170254657223837e+32,2.4679409069706006e-07,1.337957714006325e-07,-2.790480932370916e-06,7.413024236279893e+43
283834495672081.06,1898317.8351656653,1898317.8351654236,3.124414780620647e+32,3.1489112980963514e+32,2.4983442907527527e-07,1.3489074980257653e-07,-2.819647356517936e-06,7.484617305961494e+43
285771390787675.1,1877511.655418268,1877511.6554180246,3.155977354777537e+32,3.1813124191576507e+32,2.529797075132054e-07,1.3602450177355704e-07,-2.849808090765402e-06,7.558107295182744e+43
287721503333658.0,1857192.3264836203,1857192.3264833756,3.1882462268644137e+32,3.2144454377467056e+32,2.5625636813735375e-07,1.372065938670813e-07,-2.881216046934138e-06,7.634000850249423e+43
289684923506173.56,1837435.195552417,1837435.1955521707,3.2210878428011122e+32,3.2481735306939884e+32,2.5965653199405066e-07,1.384342697782515e-07,-2.9137953911055838e-06,7.712000453561667e+43
291661742116863.44,1818257.6314484263,1818257.6314481779,3.2544490578485606e+32,3.282444567297917e+32,2.6318042018482586e-07,1.3970760840756595e-07,-2.9475469955906404e-06,7.791992370253862e+43
293652050597071.8,1799639.1711024325,1799639.171102182,3.28833524412691e+32,3.317261992861994e+32,2.6683430502215104e-07,1.4102888886563813e-07,-2.982529603929949e-06,7.874001599455497e+43
295655941002073.06,1781482.1627489731,1781482.1627487203,3.3229049221537825e+32,3.352790321841103e+32,2.7064208069058646e-07,1.4240674900250645e-07,-3.0189707469058346e-06,7.958426110717413e+43
297673506015329.5,1763752.840656658,1763752.8406564023,3.358214006206444e+32,3.389087519168646e+32,2.746181324533046e-07,1.4384651923633432e-07,-3.0570082233475804e-06,8.045424337810228e+43
299704838952778.25,1746535.082999333,1746535.0829990748,3.3940798921050565e+32,3.425966170930233e+32,2.787499219248972e-07,1.4534366755512977e-07,-3.096520709614162e-06,8.13456679660205e+43
301750033767145.94,1729812.0679594974,1729812.067959236,3.4305073075419224e+32,3.463432366611487e+32,2.8304606130462665e-07,1.4690132828647578e-07,-3.137588873686294e-06,8.225882053243847e+43
303809185052298.94,1713541.8578852785,1713541.8578850138,3.467559944725868e+32,3.501550775197937e+32,2.875233113671411e-07,1.4852558262328311e-07,-3.1803717477065417e-06,8.319537572609055e+43
305882388047611.6,1697648.8182750142,1697648.818274746,3.505396562569741e+32,3.540486623308057e+32,2.92211392270229e-07,1.5022728704610913e-07,-3.22515251269717e-06,8.415960108508655e+43
307969738642375.6,1682208.2969447593,1682208.2969444871,3.5438222195859894e+32,3.580039180517957e+32,2.9709763266071007e-07,1.5200187225543017e-07,-3.271808841149993e-06,8.51467485275581e+43
310071333380234.25,1667205.3445280448,1667205.3445277687,3.582841395623494e+32,3.62021366443149e+32,3.021938310280592e-07,1.5385361834986975e-07,-3.3204514500079143e-06,8.615707162046324e+43
312187269463647.4,1652615.5791407144,1652615.5791404336,3.622490544658762e+32,3.661048351472684e+32,3.0751739324782544e-07,1.557888643568537e-07,-3.3712448194630484e-06,8.719171449849551e+43
314317644758387.4,1638360.1515979508,1638360.1515976652,3.6629658830399995e+32,3.702746252708064e+32,3.1310959790093526e-07,1.5782266944470997e-07,-3.424581672578373e-06,8.82559907587304e+43
316462557798065.6,1624505.5837632571,1624505.5837629663,3.704063616503777e+32,3.7450975141823906e+32,3.1895832273453585e-07,1.5995063980912533e-07,-3.4803446360813555e-06,8.934480944414023e+43
