CE,RE,RJ,MA,MB,PC,PS,AL,MI
280000000000000.12,1941891.8314068401,1941891.831406791,3.0627643811567302e+32,3.0856768197813236e+32,1.26188858456636e-07,1.0613109660023667e-07,-5.173078297857838e-07,7.343247478689175e+43
284815896722416.1,1887685.954529268,1887685.9545292198,3.1403812441234796e+32,3.1653492216683577e+32,1.2695161331997833e-07,1.064963678648854e-07,-5.193196004740351e-07,7.521796793562377e+43
289714625092121.4,1837707.703251287,1837707.70325124,3.2216263829140863e+32,3.248698229652914e+32,1.2775021874998985e-07,1.068780024543627e-07,-5.214228206017343e-07,7.713515863643769e+43
294697609782895.6,1790543.9845654818,1790543.9845654354,3.306120463553384e+32,3.335484826897857e+32,1.2858282439520575e-07,1.0727999975856098e-07,-5.236131535139053e-07,7.916953155591748e+43
299766299972385.9,1745956.243318856,1745956.2433188104,3.395122325888628e+32,3.427054426423569e+32,1.294597033756791e-07,1.0770633155443875e-07,-5.259151685805095e-07,8.136993062031396e+43
304922169763556.56,1704923.4010461734,1704923.4010461285,3.4877627799192475e+32,3.522296303655207e+32,1.3037491306807472e-07,1.0815036835641275e-07,-5.283140402328901e-07,8.370758914607347e+43
310166718613400.44,1666603.2532079522,1666603.253207908,3.5842966561288946e+32,3.621526083798632e+32,1.3133256739587783e-07,1.0861611812657927e-07,-5.308218879101904e-07,8.618300221739464e+43
315501471769016.3,1630614.5229250335,1630614.52292499,3.6855986277430686e+32,3.7261014129019e+32,1.3233785550455154e-07,1.0910759107050013e-07,-5.334468938209339e-07,8.885437459360163e+43
320927980711194.25,1597208.7293493932,1597208.7293493499,3.7907721537718205e+32,3.834519180118495e+32,1.3338746975571238e-07,1.0962080894224296e-07,-5.361846413887428e-07,9.166806172326945e+43
326447823605617.94,1565754.8949845722,1565754.8949845294,3.900799409968295e+32,3.9480178809593864e+32,1.344905188508223e-07,1.101622079935022e-07,-5.390568758270086e-07,9.46659153275839e+43
332062605761839.9,1536343.4434919646,1536343.4434919222,4.015274096151932e+32,4.066209640310144e+32,1.3564469151871282e-07,1.1073007467578234e-07,-5.420573741535508e-07,9.783736663671738e+43
337773960100143.3,1508887.42774906,1508887.427749018,4.134367934857641e+32,4.1892393275640575e+32,1.3685282040863842e-07,1.1132543999503451e-07,-5.451930195481027e-07,1.011919887833674e+44
343583547626442.44,1483052.3804190587,1483052.3804190168,4.258812271826696e+32,4.3180063559685194e+32,1.3812339829058742e-07,1.1195337832332362e-07,-5.484846823713371e-07,1.0475827271521058e+44
349493057915336.2,1459130.957461411,1459130.9574613692,4.38843764054031e+32,4.452239495968147e+32,1.3945534577287594e-07,1.1261089056631212e-07,-5.519282668861768e-07,1.0854084587220612e+44
355504209601484.8,1436432.1961428158,1436432.1961427743,4.5229882155446464e+32,4.591622001070725e+32,1.4085013995693105e-07,1.1330354177761347e-07,-5.555287206326596e-07,1.1252376365031014e+44
361618750879429.4,1415348.2567683118,1415348.2567682704,4.662851221560551e+32,4.736722160454305e+32,1.4231312707162955e-07,1.1402951788767963e-07,-5.592985564633792e-07,1.1672772949401243e+44
367838460012016.56,1395701.4183368902,1395701.4183368487,4.808600494732693e+32,4.8881487415100246e+32,1.438509780857061e-07,1.1479270636727499e-07,-5.632527957264877e-07,1.2118455428872013e+44
374165145847553.75,1377251.8149759693,1377251.8149759278,4.959945359058099e+32,5.0454757769769774e+32,1.4546538151506723e-07,1.1559535071600134e-07,-5.673970895516727e-07,1.2587688580278625e+44
380600648345873.56,1360010.2057806058,1360010.2057805643,5.117427422144133e+32,5.20947849048334e+32,1.4716312841597044e-07,1.1644005705827147e-07,-5.717464793814375e-07,1.3083832818153527e+44
387146839113437.3,1343607.6949300675,1343607.6949300258,5.280518815886551e+32,5.3793460424828576e+32,1.4894268198216778e-07,1.1733038692156756e-07,-5.762968105193746e-07,1.3605197675973092e+44
393805621947652.06,1328655.1386977164,1328655.1386976747,5.449851992146066e+32,5.55598505207544e+32,1.508136686898929e-07,1.1826172816047996e-07,-5.810712410280813e-07,1.4154651462313586e+44
400578933390533.06,1314328.3381860035,1314328.3381859616,5.6254703601359696e+32,5.739350215751342e+32,1.527809592322233e-07,1.192469097598707e-07,-5.860817453367175e-07,1.4732703538051197e+44
407468743291905.8,1301141.1594088776,1301141.1594088352,5.80760719712704e+32,5.930212595452738e+32,1.548497723769043e-07,1.2028063016808204e-07,-5.913386206656952e-07,1.5341738430934805e+44
414477055382284.3,1288845.3056199912,1288845.3056199483,5.996517187912752e+32,6.127875293298834e+32,1.5702947572015043e-07,1.2136950317600384e-07,-5.968667684725552e-07,1.5982010036046029e+44
421605907855613.56,1277147.6530950523,1277147.6530950093,6.191963982424928e+32,6.332783693606907e+32,1.5932221995166e-07,1.2251934032186098e-07,-6.026697419304085e-07,1.6653666059878465e+44
428857373962017.4,1266428.9026933734,1266428.9026933298,6.393378771823424e+32,6.544579248919489e+32,1.6172439497036693e-07,1.2372223348739602e-07,-6.087348375428897e-07,1.7356852808164878e+44
436233562610758.9,1256492.8057333708,1256492.8057333266,6.600493250040956e+32,6.762791769125902e+32,1.6424065732507668e-07,1.249819515806401e-07,-6.150735886923629e-07,1.8089768433070344e+44
443736618983560.7,1247236.8588648702,1247236.8588648255,6.815273311864914e+32,6.989029783987892e+32,1.6690046849534804e-07,1.2631250360947702e-07,-6.217576987740826e-07,1.886029365978035e+44
