EC,PC,PS,SS,AS,RS,RJ,MS,MB,NS,OS,VS,RI,MA,NI,PI,SI,OI,VI,H1,J1,H1p,J1p,H2,J2,H2p,J2p,CP,MI,HI,HpI,JpI,YI,CI,K2,L2
645745723177966.5,0.0017732647705078122,0.0004215755511228307,-8.608971342129657e-10,0.9999987559191568,1150359.3736555548,1150357.9425154952,1.4123380035435888e+33,1.4929425015793778e+33,0.2320929858688312,1.2645625423287554,1.7128858423421485e-07,8972858.596535148,1.4123406475849626e+33,0.409755739351278,-3.825611408759448e-09,-3.637632125138871e-14,1.3301052901812476,4.627424830964348e-11,36963766807335.66,17890110997410.336,8337468.248552818,16843204.798776805,1015541866041.6974,4613748854636408.0,228448.61631539822,4343758545.806806,0.0911739521754595,5.061288329572304e+44,1.7052336861368617e+29,3.8462897611224895e+22,-5681670518734848.0,2.0238993885957695,0.011688881409105007,3.5374905258550622e-06,2.055192097951501e+36
656852311434277.0,0.02178118818044663,0.005232962948044869,-1.0716368165485849e-08,0.999808331062329,1144914.0820070338,1144694.637541211,1.4142928634278614e+33,1.4956116112333408e+33,0.2327798065177621,1.2652023509145833,1.7426334538539555e-07,10003446.672005255,1.4146969840241906e+33,0.41431226550656636,-3.422745097784162e-08,-1.5873689163118278e-13,1.331609578676934,2.9902977180815065e-11,47339147588300.68,568646665223316.6,9565675.804185152,536454598.65777117,15322146337777.205,1.2155375229139314e+16,3089321.55832648,11467238654.658329,0.09177789596506448,5.046852310004916e+44,5.667122145443595e+29,1.1451764631822463e+23,-8.020882671167078e+16,2.0214336987053754,0.010502146790068806,1.9930282086958266e-06,1.9941818961346436e+36
668149928911944.6,0.031045507030487064,0.007540974405755216,-1.5487208016210876e-08,0.9996020151520706,1139524.3157576197,1139070.802346101,1.4170156696513452e+33,1.4991750062041013e+33,0.23352702990658772,1.2659168028024717,1.7746113249716226e-07,7872086.225316866,1.417848117991351e+33,0.4107472953832811,2.105670195795477e-06,-1.400920537771555e-13,1.3331223995090118,7.792382437899141e-11,29933990341823.105,106705027887581.17,7708200.405479421,100366831.70470911,13287562639848.727,1630409362374429.0,3404591.2233575694,1533565501.7526503,0.09243646083970825,5.0378361065267084e+44,4.738680836449108e+28,1.2204235106717834e+22,-1.2754873256352154e+17,2.027416371559502,0.013375320163046388,6.41029084759354e-06,1.9356639602381863e+36
679641861243121.5,0.03831999347537755,0.009414153298817275,-1.9390343835506867e-08,0.9993798084220146,1134243.2101617693,1133539.7620754398,1.420544357291409e+33,1.5036777083994583e+33,0.2343353375391587,1.2667076529802148,1.808739826938969e-07,9963831.694527172,1.4218313429102815e+33,0.4189531994016681,-3.171658450370743e-08,-2.631621590135118e-13,1.3349964895555535,3.0377014278500336e-11,49484327143427.07,924776125923265.5,10039218.745783344,872396868.9731381,26047354517266.945,1.1670591594938204e+16,5272210.778211255,11009570242.900965,0.09314845214406565,5.033324441529338e+44,5.534234008402244e+29,1.1228800725576007e+23,-1.5082170649411584e+17,2.021632630480775,0.010597075253597031,1.9166327641024222e-06,1.8800692236195164e+36
691331450571612.4,0.0445851886087656,0.011082179892536069,-2.289262739077134e-08,0.9991406664605349,1129093.405479887,1128123.1376473694,1.4249165313935922e+33,1.5091661550925638e+33,0.23520964108125658,1.2675800842317364,1.8450769236636798e-07,8886621.327998448,1.4266858413499005e+33,0.4189544059488071,9.756089871365761e-07,-3.3482975426518816e-14,1.3368863655980951,4.809014595629626e-11,40243450522890.64,381898011652268.1,9165424.332555093,359548636.27379274,23756539537291.996,4225508733491464.0,5388337.021117758,3978224760.819174,0.09391525940724481,5.034921820291501e+44,1.6097647643727573e+29,3.667078536888954e+22,-2.2337280542769152e+17,2.024391330870046,0.011922188783004049,3.3010654517281105e-06,1.8274290558032192e+36
703222096524865.8,0.05023015804767608,0.012636623724999152,-2.618035413200058e-08,0.9988828346801577,1124083.8378910394,1122828.0504107524,1.4301858563477985e+33,1.5157067077404287e+33,0.2361571140163363,1.2685417681546893,1.8837877613798845e-07,8334133.185596043,1.432468279096996e+33,0.42015658249634963,1.908266989819408e-06,-2.144465814894811e-13,1.3389617498847266,6.235544482510759e-11,36191244653276.664,250527844419477.8,8795932.8398906,235726645.69132596,23226643592997.6,2511581367183091.5,5619813.918676097,2363197912.8825746,0.09474058843748519,5.042343048088544e+44,8.50783347738812e+28,2.0683781160578587e+22,-2.2798417564952166e+17,2.0261490476057697,0.012764061701567473,4.426287643129573e-06,1.777644171054861e+36
715317257202665.0,0.055449979400634765,0.014123795445499306,-2.934779926362481e-08,0.9986046032881104,1119229.5824787247,1117667.8131994843,1.4364084638339825e+33,1.5233686289781354e+33,0.23718467524246478,1.2696002236208228,1.9250175566242918e-07,7779430.873429803,1.439237659695444e+33,0.42131403578797044,5.422424122873917e-06,8.093238408829839e-13,1.341215215301714,8.249574352068638e-11,32208291049441.426,160714645473226.66,8393326.671968704,151203830.2756318,22045356196678.85,1490912598929083.5,5712707.404037991,1402684579.4534693,0.09562778313937194,5.056020261918508e+44,4.4476735310106806e+28,1.1595600737033414e+22,-2.5933335209443328e+17,2.0281878546320513,0.01373880647587462,6.080936303910725e-06,1.7306633710987906e+36
727620450182843.2,0.06035384394422173,0.01556967325573548,-3.244797408827537e-08,0.9983045358489728,1114553.3217466208,1112663.636545191,1.4436412750414745e+33,1.532221926786145e+33,0.23829912246604965,1.2707630340080514,1.9688742473579779e-07,8810256.553614726,1.447053244299305e+33,0.42788459008123436,1.2115164225884145e-06,-2.5879613050485007e-13,1.3437756960157905,5.044317003866054e-11,42372807380540.625,451895934851606.0,9735569.04158062,425482348.4555856,30497829804855.973,3937235205301686.0,6979226.315289717,3707102118.9927816,0.09657949587964546,5.0759138446284424e+44,1.530498636555211e+29,3.5177341173867634e+22,-2.96078841548374e+17,2.024970118976179,0.012197203616852458,3.1809113069405535e-06,1.686542746622762e+36
740135253544266.2,0.06500303852215411,0.01698846846163947,-3.550931301560093e-08,0.9979817829197418,1110086.032084189,1107845.6374936805,1.4519197387200006e+33,1.5423118140607986e+33,0.23950432595172413,1.2720345162319266,2.0153624803127459e-07,9310007.828750554,1.4559517174473695e+33,0.4327361921122849,1.1255113594332274e-06,1.8875504329640772e-13,1.3464987496653145,4.075119026827198e-11,48400048392478.69,763151450683597.2,10516553.09743766,719182104.1242256,36307862307670.47,6315397486649976.0,7856300.620810142,5951533271.435464,0.09759600464125504,5.102922355273066e+44,2.7795714618027812e+29,6.04206657840011e+22,-3.970578938802995e+17,2.02375394623793,0.011613449737897564,2.3550539138173674e-06,1.6453341125341367e+36
752865306907439.0,0.0694605102813244,0.01839635039169229,-3.856531121610194e-08,0.9976338238643738,1105835.9589367306,1103219.3562807774,1.461326704104189e+33,1.553741686078645e+33,0.24081175677138067,1.273427032930604,2.064732141968144e-07,8752994.418542536,1.4660204298751516e+33,0.43497856392371237,2.367152210545205e-06,4.646240829764815e-13,1.3494017178722268,5.262453016925063e-11,43607062016213.19,472512552858277.2,10085634.665661953,444937115.7118775,33894437425751.21,3746360646274019.0,7802014.30454359,3527727033.460352,0.09868302806757788,5.1375730579553725e+44,1.4735223388143482e+29,3.409787510765628e+22,-4.059978605222953e+17,2.0254766598355536,0.012437917984949313,3.1311641208929405e-06,1.6069120476649537e+36
765814312492993.9,0.073774873919487,0.019806927807587808,-4.164451043491968e-08,0.9972575666355528,1101812.4341037506,1098790.7869231016,1.471970431983396e+33,1.5666467878315766e+33,0.24223429851112313,1.2749549761361614,2.1173059904549886e-07,8194146.604305878,1.4773732030957265e+33,0.43726584034559357,3.5804048880325278e-06,-1.4286784590917197e-13,1.352551629437625,6.924962536073546e-11,38919101272189.82,290330734057138.25,9624251.803870851,273272984.02273214,31193783119459.51,2220862657212499.8,7676485.198636111,2090381960.9098735,0.09984803580499876,5.1803956174545905e+44,7.737746471658601e+28,1.9145421852128034e+22,-3.637296497562747e+17,2.0274687731399768,0.013389082125678452,4.257945958416941e-06,1.5711650556258604e+36
778986036198402.0,0.07796129261493684,0.021223916107624557,-4.475426496743905e-08,0.9968517837537183,1098049.5318967868,1094592.6345212474,1.4839150049098363e+33,1.5811097310606924e+33,0.24377891296729004,1.2766265051306762,2.1731461942165144e-07,8162838.809163919,1.490076214466374e+33,0.44148316497231305,4.1241310365806906e-07,-3.2945400977132797e-12,1.356000894534483,7.119703915592427e-11,39367725808620.97,291613976719404.0,9775562.154978056,274511348.6174488,32402524052974.426,2164982370286230.0,8018203.01194954,2038011039.4697692,0.10109281236547671,5.231801660908985e+44,7.57814034390926e+28,1.8825699658706652e+22,-2.7361755167666995e+17,2.027821402215966,0.01355600060288624,4.249199427109018e-06,1.5382121399488884e+36
792384308693172.4,0.08203487624399368,0.022651279000555104,-4.790237213495424e-08,0.9964148788656322,1094575.7616627521,1090651.5749664484,1.4972335465594565e+33,1.5972249083322366e+33,0.24545444813162157,1.27845168864671,2.2323633695760283e-07,10240640.497233646,1.5042054833630593e+33,0.45180952473352054,4.613037795270226e-09,-3.703241160715075e-13,1.3598337634000244,2.915576579483297e-11,63462173235268.45,2129857817741709.0,12528229.391120745,2011758046.1970797,53377060045509.94,1.542603409325122e+16,10511227.475154463,14570666813.145214,0.10242016106275575,5.292142694798149e+44,8.652840993330683e+29,1.708734737034814e+23,-4.136783908186358e+17,2.022288189577953,0.010907980804675957,1.3405728380342547e-06,1.5080961609990785e+36
806013026532920.0,0.08599998499512673,0.024089176080616666,-5.108845176738395e-08,0.9959462200095706,1091423.950256422,1086999.557685797,1.5119733829991075e+33,1.6150563628736387e+33,0.24726779155786816,1.2804383387109948,2.2949556901402743e-07,9154447.435400967,1.519809607012328e+33,0.45414349973207435,1.6155383031728072e-06,1.3194385210993392e-13,1.3638260360978123,4.640252118016385e-11,51489612795678.805,784437862893714.8,11384333.274370229,739455623.0181,44244787447099.5,5568171700782180.0,9739995.442023681,5248875170.415528,0.10383030646533327,5.3628490590148306e+44,2.5199571834394135e+29,5.574950116148566e+22,-5.4720299914389094e+17,2.0252561483448552,0.012328815911460261,2.3059720418165513e-06,1.4808727149882076e+36
819876153292575.5,0.08991124356240036,0.025557189571824877,-5.4355309949140495e-08,0.995438246975053,1088586.8154127675,1083620.9512146409,1.5284101800937643e+33,1.6349461252577377e+33,0.2492521769293866,1.2826237180799172,2.361842436015654e-07,9648021.658007266,1.537178387998071e+33,0.46083720717197857,-5.679468305734118e-08,-8.529381574787371e-13,1.3682455799656088,3.831001917843003e-11,58259940764295.32,1278616167379849.5,12218628.94670555,1206544666.6356566,51025071384258.97,8930127378421554.0,10672642.068196721,8426765008.079687,0.10534433704611929,5.44484882516902e+44,4.550272108708271e+29,9.54677001866947e+22,-4.172298906857636e+17,2.0242183698830463,0.011831786324842176,1.7440337724669704e-06,1.4562946579884177e+36
