,ec_st,R_st,M_st,Mb_st,rT_st
0,280000000000000.12,1941878.7686384306,3.062770711934059e+32,3.0856496632659687e+32,0.0
1,283842248052297.5,1898230.115985853,3.124543082223132e+32,3.14904339661363e+32,0.0
2,287737220640649.75,1857192.926751079,3.1885377625181068e+32,3.2147403506659556e+32,0.0
3,291685641267721.1,1818030.7706946216,3.25484546254544e+32,3.2828506334169575e+32,0.0
4,295688243364308.06,1781192.671616206,3.3234613488601335e+32,3.353361536389675e+32,0.0
5,299745770425571.44,1746193.3108009333,3.394796127725426e+32,3.426698238711069e+32,0.0
6,303858976149150.06,1713157.7314628446,3.468448860889533e+32,3.502465298933126e+32,0.0
7,308028624575157.7,1681786.4065774493,3.5449021584130264e+32,3.581150295975254e+32,0.0
8,312255490228106.75,1652162.1701644328,3.623785699694861e+32,3.662384377451099e+32,0.0
9,316540358260778.5,1624008.2463885327,3.705554897125256e+32,3.7466300482352974e+32,0.0
10,320884024600069.06,1597419.7363585057,3.789891809916169e+32,3.8335838923323164e+32,0.0
11,325287296094829.56,1572107.34972432,3.877438950178916e+32,3.923898727329025e+32,0.0
12,329750990665748.94,1548167.8673983195,3.9677412704384814e+32,4.0171157841217245e+32,0.0
13,334275937457279.6,1525431.193400994,4.0611836472037904e+32,4.1136409923290966e+32,0.0
14,338862976991655.0,1503896.9732596972,4.157630401830323e+32,4.213335246836996e+32,0.0
15,343512961325018.8,1483441.9500479698,4.2574401527927346e+32,4.316581639110561e+32,0.0
16,348226754205697.2,1464035.1776814854,4.360427130266304e+32,4.423194156653385e+32,0.0
17,353005231234643.9,1445696.922367285,4.466711656951481e+32,4.533308796711715e+32,0.0
18,357849280028079.9,1428208.5981749885,4.576376865497014e+32,4.647012553454416e+32,0.0
19,362759800382379.5,1411638.1390944573,4.689374901746826e+32,4.764265125871575e+32,0.0
20,367737704441204.44,1395946.8963044055,4.806064929198187e+32,4.885489794804623e+32,0.0
21,372783916864938.4,1381074.2464439233,4.9265977569192206e+32,5.0107567809865624e+32,0.0
22,377899375002445.9,1366921.349766233,5.050986678411526e+32,5.140174031953902e+32,0.0
23,383085029065188.6,1353526.5375450233,5.1790046874043846e+32,5.273502487229063e+32,0.0
24,388341842303724.3,1340846.743735287,5.3107387360048315e+32,5.410831528641881e+32,0.0
25,393670791186642.3,1328807.4556331956,5.446384105448244e+32,5.552377448239567e+32,0.0
26,399072865581939.56,1317400.7775038981,5.586137590263037e+32,5.6983591361181426e+32,0.0
27,404549068940892.9,1306592.9859312228,5.730025479222603e+32,5.8488292300350274e+32,0.0
28,410100418484453.06,1296343.22258483,5.878092797364071e+32,6.003836328138737e+32,0.0
29,415727945392196.7,1286638.6471985958,6.0304930718456016e+32,6.1635520054288796e+32,0.0
30,421432694993872.5,1277443.4507636437,6.187292434249057e+32,6.328075461040044e+32,0.0
31,427215726963567.56,1268796.3430041284,6.347673487254407e+32,6.496578383989502e+32,0.0
32,433078115516555.3,1260637.6116561806,6.51151138329686e+32,6.66890572951981e+32,0.0
33,439020949608827.06,1252935.0681884133,6.679469399024511e+32,6.845793505217842e+32,0.0
34,445045333139370.8,1245571.5441133867,6.85383622000454e+32,7.02967018442753e+32,0.0
35,451152385155223.56,1238526.4696372708,7.035124632688647e+32,7.221115239887032e+32,0.0
36,457343240059339.56,1231888.0775525358,7.221176067198528e+32,7.417876369281566e+32,0.0
37,463619047821301.56,1225582.5342351943,7.412793099481112e+32,7.620832553786925e+32,0.0
