,ec_st,R_st,M_st,Mb_st,rT_st
0,280000000000000.12,1398735.8061882148,8.558683236867138e+32,8.752911323600283e+32,0.0
1,282622146124561.44,1396914.4584918853,8.718531464530479e+32,8.921238989880764e+32,0.0
2,285268848143046.2,1395218.9969818904,8.880661930271308e+32,9.092149384648953e+32,0.0
3,287940336016674.9,1393619.2732054067,9.045107042942566e+32,9.265686139834344e+32,0.0
4,290636841860214.2,1392127.3777835867,9.211870665025812e+32,9.441860769650318e+32,0.0
5,293358599962137.4,1390733.7910213543,9.381044528800983e+32,9.62078063050848e+32,0.0
6,296105846804985.44,1389433.3940728034,9.552439748735833e+32,9.802250203797778e+32,0.0
7,298878821085911.5,1388225.0132206148,9.726294832354846e+32,9.986536128861293e+32,0.0
8,301677763737425.4,1387102.8763605831,9.902546595958253e+32,1.0173579120811166e+33,0.0
9,304502917948319.75,1386088.462455776,1.0081210353972688e+33,1.0363404287971467e+33,0.0
10,307354529184804.75,1385108.2847729619,1.0262287518455082e+33,1.0556026437743695e+33,0.0
11,310232845211833.1,1384242.77556523,1.0443580941735945e+33,1.0749110606356689e+33,0.0
12,313138116114632.56,1383424.5077953094,1.0627040477939829e+33,1.0944729885218108e+33,0.0
13,316070594320426.9,1382693.0671067743,1.0813025122351897e+33,1.1143291757101163e+33,0.0
14,319030534620373.7,1382020.9873445404,1.1001390164659289e+33,1.1344645300372192e+33,0.0
15,322018194191699.3,1381410.451934176,1.119202305483958e+33,1.154866845943412e+33,0.0
16,325033832620049.3,1380858.2891670275,1.1385092477182845e+33,1.1755564203502953e+33,0.0
17,328077711922034.94,1380363.2389945968,1.1580571762849435e+33,1.1965311502154847e+33,0.0
18,331150096568003.9,1379919.6202564884,1.1778459170933148e+33,1.2177917803001283e+33,0.0
19,334251253505017.8,1379530.7255538222,1.1978786671948034e+33,1.2393431037119656e+33,0.0
20,337381452180044.8,1379184.6743125364,1.2181573753601507e+33,1.2611885269896139e+33,0.0
21,340540964563376.1,1378886.8910731785,1.2386800037939824e+33,1.283326717969894e+33,0.0
22,343730065172248.4,1378633.4591497595,1.2594455877226197e+33,1.305757299124708e+33,0.0
23,346949031094700.6,1378419.5887407092,1.2804589431590286e+33,1.3284875097133014e+33,0.0
24,350198142013646.6,1378246.432658575,1.3017222687313063e+33,1.351521257980762e+33,0.0
25,353477680231181.1,1378110.0576111053,1.3232262419204e+33,1.3748481396539302e+33,0.0
26,356787930693099.4,1378008.3164335317,1.3449849052831347e+33,1.3984869402892968e+33,0.0
27,360129181013660.7,1377941.2037056386,1.3669922035676945e+33,1.4224313961883305e+33,0.0
28,363501721500574.94,1377905.8476499277,1.3890120829947979e+33,1.446425074250104e+33,0.0
29,366905845180232.44,1377897.3762455466,1.4112470562599087e+33,1.470689327234159e+33,0.0
30,370341847823154.75,1377917.3907999778,1.4337205125052154e+33,1.4952512948477647e+33,0.0
31,373810027969698.94,1377964.020716362,1.4564276256951856e+33,1.5201064435532117e+33,0.0
32,377310686955993.44,1378031.5848227765,1.479369530918614e+33,1.5452569763901976e+33,0.0
33,380844128940126.44,1378121.7073011473,1.502552203733196e+33,1.570712206541814e+33,0.0
34,384410660928563.1,1378229.7453088723,1.5259586573253422e+33,1.5964506643231338e+33,0.0
35,388010592802827.06,1378360.3957160597,1.549613371144108e+33,1.6225077529679757e+33,0.0
36,391644237346420.7,1378511.3069671341,1.5734932829063564e+33,1.6488530819968826e+33,0.0
