,ec_st,R_st,M_st,Mb_st,rT_st
0,280000000000000.12,1436730.5696460013,5.182594810303687e+32,5.235525880835828e+32,0.0
1,284711454313363.5,1416132.2722304254,5.449597219902075e+32,5.510965300292933e+32,0.0
2,289502186490108.7,1398011.1457002596,5.73087912447705e+32,5.80169566452569e+32,0.0
3,294373530508919.2,1382115.7578175243,6.0269439754435254e+32,6.108355224558694e+32,0.0
4,299326842794834.4,1368183.1558442705,6.3382675285050066e+32,6.431533578832491e+32,0.0
5,304363502596945.6,1356124.0542053478,6.665471140960566e+32,6.771946231914242e+32,0.0
6,309484912372448.4,1345661.7727455418,7.008971955630912e+32,7.130193525655548e+32,0.0
7,314692498177155.7,1336662.6805484525,7.369330511619176e+32,7.506971091610543e+32,0.0
8,319987710062583.7,1329007.3323459362,7.74707801157004e+32,7.902982523147403e+32,0.0
9,325372022479718.06,1322576.0631288888,8.142720429476067e+32,8.318905170637174e+32,0.0
10,330846934689574.6,1317246.48356056,8.556790156920793e+32,8.755456056557346e+32,0.0
11,336413971180666.94,1312920.9187353293,8.989791335819806e+32,9.21336278453079e+32,0.0
12,342074682093505.7,1309544.594955859,9.437487213341856e+32,9.688290276841486e+32,0.0
13,347830643652226.56,1307109.509635468,9.876477621018032e+32,1.015542331490228e+33,0.0
14,353683458603495.25,1305333.5470001863,1.033147840241686e+33,1.0641042733967413e+33,0.0
15,359634756662790.6,1304147.032297122,1.0802786254172707e+33,1.1145539143181249e+33,0.0
16,365686194968198.8,1303498.2752696106,1.1290699014049167e+33,1.1669403114520932e+33,0.0
17,371839458541842.94,1303350.3128389423,1.1795587051853603e+33,1.2213135737649936e+33,0.0
18,378096260759077.44,1303582.3892911,1.2317447040264229e+33,1.2777030454385922e+33,0.0
19,384458343825577.1,1304236.0807577698,1.2856737211344114e+33,1.3361632006805513e+33,0.0
20,390927479262454.06,1305247.6013975826,1.341357883065449e+33,1.396731874681849e+33,0.0
21,397505468399537.5,1306568.2804942955,1.3988084798620996e+33,1.459440469399992e+33,0.0
22,404194142876953.6,1308178.44305248,1.458043418130572e+33,1.524332806616749e+33,0.0
23,410995365155145.9,1310045.9675713035,1.5190717960699802e+33,1.5914437660265066e+33,0.0
24,417911029033476.44,1312136.7513245835,1.581891352880591e+33,1.6607928521620158e+33,0.0
25,424943060177554.6,1314421.1642491035,1.6465014470541823e+33,1.7324080732357657e+33,0.0
26,432093416655438.06,1316882.9622432382,1.7128986375752674e+33,1.8063128488277956e+33,0.0
27,439364089482856.56,1319528.4318084747,1.7810720982598418e+33,1.882526201393632e+33,0.0
28,446757103177610.0,1322231.1538136725,1.851005236509178e+33,1.9610594095608957e+33,0.0
29,454274516323295.25,1325074.9029598527,1.922677835158987e+33,2.0419238480875725e+33,0.0
30,461918422142518.25,1328002.736497299,1.9960613168433523e+33,2.125120632592122e+33,0.0
31,469690949079749.75,1330996.9842553833,2.0711231146371595e+33,2.2106486105905362e+33,0.0
32,477594261393998.06,1334039.5356990825,2.1478257014069514e+33,2.2985033079352383e+33,0.0
33,485630559761435.0,1337110.662468526,2.2261209628498515e+33,2.3886669525021025e+33,0.0
34,493802081888181.7,1340194.4385518185,2.3059584740534185e+33,2.4811216238720242e+33,0.0
35,502111103133395.5,1343453.9424867132,2.387326764352574e+33,2.5758731902851798e+33,0.0
36,510559937142843.6,1346336.0513047024,2.4700203889149935e+33,2.672792822948294e+33,0.0
37,519150936493137.1,1349383.3287915285,2.5541114804507539e+33,2.7719391911831585e+33,0.0
38,527886493346805.75,1352272.395765757,2.6373586943521643e+33,2.8707130805103875e+33,0.0
39,536769040118395.25,1354642.942780514,2.70765474173462e+33,2.954603998306556e+33,0.0
40,545801050151772.8,1356914.3967235233,2.7780065799686226e+33,3.038991604988977e+33,0.0
41,554985038408829.3,1359082.5522866899,2.8483748856910403e+33,3.123826479170133e+33,0.0
42,564323562169770.1,1361108.2724227393,2.918713473311636e+33,3.2090624061616207e+33,0.0
43,573819221745189.1,1363013.4216882503,2.988990813614594e+33,3.294657027583325e+33,0.0
44,583474661200125.5,1364783.949386129,3.0591633463799494e+33,3.380565217537134e+33,0.0
45,593292569090302.5,1366409.2609882883,3.1291899060733424e+33,3.466738287039631e+33,0.0
46,603275679210755.8,1367897.561497139,3.1990294707883366e+33,3.553132668625935e+33,0.0
47,613426771357058.4,1369224.4073420367,3.2686345192936186e+33,3.639699076670965e+33,0.0
48,623748672099354.0,1370419.7627178777,3.33809857290305e+33,3.7265694459091386e+33,0.0
49,634244255569415.2,1371434.332039698,3.4069717826722134e+33,3.8131466346594147e+33,0.0
50,644916444260945.5,1372307.4572697354,3.4756113505675613e+33,3.89992537955074e+33,0.0
51,655768209843346.1,1373023.349438005,3.5438348204201393e+33,3.986668309447984e+33,0.0
52,666802573989178.2,1373582.2426377225,3.6115963781866116e+33,4.073322302561227e+33,0.0
53,678022609215543.8,1373982.428992633,3.678846335458371e+33,4.159829358992672e+33,0.0
54,689431439739638.2,1374225.243626309,3.745538827156023e+33,4.2461350820563434e+33,0.0
55,701032242348672.6,1374308.7750693653,3.8116221517723984e+33,4.332177660525882e+33,0.0
56,712828247284459.9,1374233.6949995437,3.8770491291818997e+33,4.41789861295949e+33,0.0
57,724822739142872.8,1374003.7531509956,3.9417790934672797e+33,4.503250357066835e+33,0.0
58,737019057788439.0,1373624.9520373684,4.004072565319402e+33,4.5859194913138305e+33,0.0
59,749420599284325.9,1373192.770660256,4.05507660690059e+33,4.653996238907954e+33,0.0
60,762030816837974.0,1372639.3807177474,4.1050307108295994e+33,4.7210079792744823e+33,0.0
61,774853221762642.1,1371955.9920981308,4.153908942423495e+33,4.7869052033288153e+33,0.0
62,787891384455131.8,1371145.5987161112,4.2016951840176466e+33,4.851632485096757e+33,0.0
63,801148935389963.8,1370204.24213959,4.24838575319119e+33,4.9151834459295375e+33,0.0
64,814629566130283.4,1369134.494160032,4.293978845339118e+33,4.9775376242410376e+33,0.0
65,828337030355775.8,1367935.3171449995,4.3384684529398636e+33,5.0386722905914726e+33,0.0
66,842275144907876.9,1366607.8617595958,4.3818574930864543e+33,5.0985781226097875e+33,0.0
67,856447790852573.1,1365156.49866992,4.424144306181959e+33,5.157240657916903e+33,0.0
68,870858914561083.4,1363575.9197976815,4.465328835044542e+33,5.214646805456121e+33,0.0
69,885512528808725.4,1361874.4568068255,4.505419494943438e+33,5.270798679810489e+33,0.0
70,900412713892272.4,1360054.4806657184,4.5444115077847566e+33,5.325675346608173e+33,0.0
71,915563618766111.5,1358111.8031075508,4.582305694384369e+33,5.379265004420788e+33,0.0
72,930969462197515.4,1356056.1724670446,4.619114503853252e+33,5.431580258615177e+33,0.0
73,946634533941372.8,1353888.1135258696,4.654839610017201e+33,5.482612145931886e+33,0.0
74,962563195934647.0,1351608.350206172,4.6894807272402975e+33,5.53234127041191e+33,0.0
75,978759883510972.4,1349349.925016719,4.721342244032627e+33,5.578324112521238e+33,0.0
