,ec_st,R_st,M_st,Mb_st,rT_st
0,280000000000000.12,1808020.7829819906,3.474663254882088e+32,3.477124473055461e+32,0.0
1,283084253670302.25,1775814.971789097,3.546278049241536e+32,3.549831009243595e+32,0.0
2,286202480985972.6,1745430.8412318595,3.619797855314242e+32,3.624514069185892e+32,0.0
3,289355056173224.6,1716746.2268083391,3.6952488584666936e+32,3.7012036987530984e+32,0.0
4,292542357580449.94,1689654.1997196467,3.772655555772191e+32,3.779928340769815e+32,0.0
5,295764767723615.5,1664035.407041383,3.85204965493558e+32,3.860723875624868e+32,0.0
6,299022673332178.44,1639808.4640429707,3.933446623942007e+32,3.943610133576011e+32,0.0
7,302316465395495.1,1616881.8365954957,4.016906314132898e+32,4.028651474001472e+32,0.0
8,305646539209740.94,1595169.0649160352,4.102426268913039e+32,4.115850242543481e+32,0.0
9,309013294425359.3,1574592.0565062684,4.190050128906272e+32,4.205254931042895e+32,0.0
10,312417135095014.94,1555095.0258477423,4.279806788361039e+32,4.296899723302497e+32,0.0
11,315858469722093.75,1536598.8493643429,4.371723238425303e+32,4.390816946370954e+32,0.0
12,319337711309725.0,1519060.644247454,4.465832138300598e+32,4.487044990248863e+32,0.0
13,322855277410342.56,1502414.7112653332,4.562138424785074e+32,4.5855948093104355e+32,0.0
14,326411590175805.56,1486587.2702740245,4.66075665524386e+32,4.686586356328201e+32,0.0
15,330007076408051.56,1471666.3982937029,4.761713099071047e+32,4.790053969824778e+32,0.0
16,333642167610327.3,1457293.605609354,4.8648273391100985e+32,4.895821038571565e+32,0.0
17,337317300038970.56,1443731.1238779859,4.9703604365229625e+32,5.0041580872577424e+32,0.0
18,341032914755762.0,1430831.3118913642,5.078286194492542e+32,5.115045224852904e+32,0.0
19,344789457680868.0,1418422.1568346112,5.190008474854478e+32,5.229933154551923e+32,0.0
20,348587379646345.5,1406297.7511461438,5.304758342887273e+32,5.348038527363354e+32,0.0
