,ec_st,R_st,M_st,Mb_st,rT_st
0,280000000000000.12,2973915.1470950353,2.140370866895973e+32,2.139904947593916e+32,0.0
1,282873755837694.1,2813640.95693633,2.182552374658643e+32,2.1826248870759854e+32,0.0
2,285777006220439.3,2669809.337568216,2.2273144764819766e+32,2.2279721464009536e+32,0.0
3,288710053862956.06,2539862.5507820207,2.2746511516276792e+32,2.275946476589948e+32,0.0
4,291673204586847.56,2422800.4525477514,2.324559108253559e+32,2.32655201720413e+32,0.0
5,294666767352490.5,2317412.7231534454,2.3769120963279168e+32,2.379650356195055e+32,0.0
6,297691054291253.44,2223215.135926526,2.4310239510894455e+32,2.43456333898833e+32,0.0
7,300746380738033.5,2137502.017815988,2.487725606080956e+32,2.4921305690329642e+32,0.0
8,303833065264145.1,2059341.4942848266,2.54706984435322e+32,2.5524093013744448e+32,0.0
9,306951429710528.3,1987949.0817165228,2.609075416675724e+32,2.615425154097401e+32,0.0
10,310101799221309.7,1922598.909570162,2.6738044612296047e+32,2.6812464462341783e+32,0.0
11,313284502277708.44,1862734.881993631,2.7412414396880987e+32,2.74985696238384e+32,0.0
12,316499870732278.44,1807760.8655512645,2.81150230998769e+32,2.8213852243150293e+32,0.0
13,319748239843513.8,1757615.1496631077,2.8846539139927915e+32,2.8959012789216787e+32,0.0
14,323029948310809.06,1711051.1034225372,2.959918984505799e+32,2.9726211666716766e+32,0.0
15,326345338309766.8,1670340.530183699,3.034485509003614e+32,3.048683616946145e+32,0.0
16,329694755527879.44,1632645.9526343702,3.111618774398976e+32,3.1274042381282084e+32,0.0
17,333078549200577.06,1597713.8974839826,3.1913173413496338e+32,3.208802377940396e+32,0.0
18,336497072147633.44,1565289.8922355142,3.273619094580085e+32,3.2929176425610995e+32,0.0
19,339950680809957.75,1535182.4141609624,3.3586044727690685e+32,3.3798372216927224e+32,0.0
20,343439735286763.6,1507175.6514929621,3.446284761257257e+32,3.469578561198134e+32,0.0
21,346964599373106.56,1481103.2923505735,3.536723959193956e+32,3.5622148428463574e+32,0.0
22,350525640597826.56,1456806.1545477896,3.629932186376665e+32,3.65776548896343e+32,0.0
23,354123230261860.25,1434163.7071402352,3.7260677947108216e+32,3.756387089025758e+32,0.0
24,357757743476959.0,1414252.952111414,3.819061919855617e+32,3.851866435607434e+32,0.0
25,361429559204805.9,1395617.6166468116,3.9144366255913255e+32,3.949867549561154e+32,0.0
26,365139060296520.06,1378166.917355112,4.0122708024405275e+32,4.050475368376532e+32,0.0
27,368886633532580.06,1361809.2160831068,4.11256013578462e+32,4.1536953980134706e+32,0.0
28,372672669663156.94,1346486.4328000566,4.215376414560223e+32,4.25960439463501e+32,0.0
29,376497563448848.0,1332056.2122045644,4.320769777520866e+32,4.368261988704383e+32,0.0
30,380361713701841.7,1318527.101046716,4.428757544255885e+32,4.479691646892948e+32,0.0
31,384265523327505.8,1305794.6178761024,4.539373002597046e+32,4.593937211982533e+32,0.0
32,388209399366386.2,1293868.0056407664,4.6527210655773734e+32,4.71111297052272e+32,0.0
33,392193753036660.56,1283037.8449519163,4.764392617558555e+32,4.826663009059907e+32,0.0
34,396218999777004.1,1272947.7067421237,4.8772639910675606e+32,4.9435605575681154e+32,0.0
35,400285559289911.2,1263437.0760803933,4.9924823459010645e+32,5.0630020130684524e+32,0.0
36,404393855585461.1,1254470.3212927813,5.110093009633831e+32,5.185038497794629e+32,0.0
37,408544317025519.3,1246012.773001809,5.2301166759539434e+32,5.309697714498633e+32,0.0
38,412737376368406.1,1238033.4167249505,5.352621047953177e+32,5.4370593238512254e+32,0.0
39,416973470814024.7,1230502.0097874682,5.4776162322528836e+32,5.5671408297925336e+32,0.0
40,421253042049436.5,1223390.9592971914,5.605141771231032e+32,5.69999169863727e+32,0.0
41,425576536294920.2,1216681.509373177,5.73522409958963e+32,5.835647520758679e+32,0.0
42,429944404350502.7,1210484.1217576521,5.864993698045853e+32,5.9711202041382525e+32,0.0
43,434357101642951.3,1204740.1759146312,5.994475275277086e+32,6.106442128499488e+32,0.0
44,438815088273273.7,1199311.420066629,6.126236730086315e+32,6.244272897227458e+32,0.0
45,443318829064679.1,1194176.3059234458,6.260255496918403e+32,6.3846224888076055e+32,0.0
46,447868793611049.7,1189318.9707701327,6.39659707951161e+32,6.52755942256794e+32,0.0
47,452465456325909.4,1184725.878232347,6.535280933128232e+32,6.673112886811265e+32,0.0
