shell_rho,shell_phi
612993.7302877117,-0.003909944597671302
622652.5698643429,-0.0035027832346595303
634192.8363755669,-0.003048092367537994
639570.7759006948,-0.0028495668236133637
644948.7154258227,-0.0026600792492048877
650203.2742392203,-0.0024838930794189003
659798.1765672613,-0.0021853408711455455
664584.6953964208,-0.0020475910015109065
669121.8977038545,-0.0019238090676591665
673545.4437880832,-0.0018093941019794201
677572.4449789891,-0.0017105143129130156
686813.8239737211,-0.00150200948113162
690044.8110796033,-0.0014349482852537747
693275.7981854854,-0.0013707963579800814
702191.1161647935,-0.0012082468119201234
705398.7227301387,-0.0011547267900855307
708606.3292954839,-0.0011037079292938465
711573.1543343179,-0.0010586767655597676
714856.8035503819,-0.0010111769829112395
718140.4527664459,-0.0009660540370829087
722893.8632773813,-0.000904774025351025
726506.5556697843,-0.0008612584824395651
729767.5088122325,-0.0008241479658430038
734009.8130886458,-0.0007788158875743606
738745.4855451403,-0.000731956794391188
743246.0380660662,-0.0006908865439613831
745868.4202213471,-0.0006684353271753918
747918.0635632791,-0.0006516167514962572
749967.7069052111,-0.0006354196470129374
751762.1268945077,-0.0006217366481969104
753556.5468838043,-0.0006085064622698538
755639.0241690397,-0.0005937060325967906
759831.3781804581,-0.0005656504927267636
762274.0061530785,-0.0005503349266863518
764716.6341256989,-0.0005357474063148558
767141.3272473377,-0.0005219632191439673
771530.3425475999,-0.0004987021947952074
773565.2673824627,-0.0004886262242630798
775600.1922173256,-0.00047898162941122096
777708.9046287303,-0.00046942920911912143
779817.617040135,-0.000460313215624817
782724.5100447253,-0.0004484377626082201
785631.4030493156,-0.0004373326108718574
787381.6805976843,-0.0004310037273344174
789131.9581460531,-0.0004249350466228012
790615.3985215963,-0.00041999012429622443
791955.9167614656,-0.0004156746235033346
796125.6797101867,-0.00040314578416292116
798698.6965446152,-0.0003960612947359865
801271.7133790437,-0.0003894451930580622
803098.5355446156,-0.00038502088348125855
803742.7473721402,-0.0003835131708475708
804386.9591996648,-0.00038203230745778886
805086.9066739216,-0.0003804533847977131
808186.2002448313,-0.00037382787584125594
809642.692105366,-0.00037091347267813275
810867.661978812,-0.00036855719434970965
811480.0334854018,-0.0003674110321857368
812092.4049919916,-0.0003662856742288904
813017.1326365164,-0.0003646251127052669
813941.8602810411,-0.0003630104091359164
814828.4279845337,-0.00036150451900580395
817203.7795801337,-0.0003576668828779582
818621.6787564561,-0.00035550784419502863
819482.6392997279,-0.00035424306784003146
820280.8997076483,-0.0003531007667474909
821003.9131916141,-0.0003520908244520655
821726.9266755799,-0.0003511038588554923
822513.6841807677,-0.00035005543207045347
823130.3096954884,-0.00034925195401828025
823746.9352102091,-0.0003484641743643254
824687.7963347343,-0.00034729173518102945
825573.3137770761,-0.00034622005093059064
826374.0797782578,-0.0003452767053043251
826960.918252292,-0.000344600509723665
827482.5273984516,-0.00034400997344494595
827906.4293371993,-0.0003435371940631541
828330.331275947,-0.0003430707029881458
828631.9875504865,-0.00034274251115714796
828933.6438250259,-0.0003424174121085511
829285.0384489542,-0.00034204255767578
829698.8735195751,-0.00034160632486957606
830074.1971589942,-0.0003412154994018995
830582.8395663176,-0.00034069301196180816
831091.4819736411,-0.00034017859163642015
831371.5280358568,-0.0003398987367433511
831651.5740980725,-0.00033962123462335256
831914.7474125357,-0.00033936256643956594
832275.0557415185,-0.0003390116965770138
832631.0077705276,-0.00033866871586213604
832838.2894924694,-0.00033847062948436655
