EC,RA,MA,MB,CP,K2,L2,MI
280000000000000.12,1941861.2779324562,3.0627683738021937e+32,3.085648044633847e+32,0.0117127876586837,0.006230440722306933,1.7183546170167833e+36,7.343300351442206e+43
284815896722416.1,1887681.0711213888,3.140372030204804e+32,3.1652916481051584e+32,0.01235426172234937,0.0070837103638676764,1.6959260748025338e+36,7.521679096182191e+43
289714625092121.4,1837141.9064059767,3.2215864395107023e+32,3.24868631741972e+32,0.013022411136126486,0.008021993607606847,1.676867887624471e+36,7.713189610135085e+43
294697609782895.6,1790125.52488708,3.306254183336775e+32,3.335676838532395e+32,0.01371567139541888,0.009045406272336708,1.6609192577041465e+36,7.917666905184658e+43
299766299972385.9,1746023.8982769048,3.395169547898564e+32,3.4270868689567834e+32,0.014440279556544368,0.01016536395683222,1.647695169152781e+36,8.137286398932964e+43
304922169763556.56,1704939.0781384204,3.4878304235066615e+32,3.522408855918237e+32,0.015191855268370844,0.011376824162430353,1.637074292908878e+36,8.371094584610151e+43
310166718613400.44,1666536.9044293668,3.584620394731825e+32,3.622045826241419e+32,0.015973222965827327,0.012685137328409117,1.6288191509779938e+36,8.62033286895679e+43
315501471769016.3,1630653.166411073,3.6856054807973866e+32,3.726074999156972e+32,0.016784621986404583,0.014091062127333132,1.622761657099842e+36,8.885477328579935e+43
320927980711194.25,1597153.6482565338,3.790775461967316e+32,3.834495352600684e+32,0.01762567186666192,0.015593469042232976,1.6187480151171358e+36,9.166814582962394e+43
326447823605617.94,1565725.4719732383,3.900770520699131e+32,3.947977798069527e+32,0.018501166122856773,0.01719996701881061,1.6166228617160945e+36,9.46641773319694e+43
332062605761839.9,1536355.0561727635,4.015297903707566e+32,4.0662328499077266e+32,0.01940843403442773,0.018904073909327464,1.6162792372469694e+36,9.783878982802857e+43
337773960100143.3,1508899.5149190906,4.1344869844466695e+32,4.189406280110011e+32,0.02034818268115916,0.020704485895065423,1.617592270685702e+36,1.0119939378360261e+44
343583547626442.44,1483130.1778729905,4.258979387236966e+32,4.318175116132041e+32,0.021325075832421634,0.02260693022181023,1.6204699053979286e+36,1.0476843325638714e+44
349493057915336.2,1459038.3020549305,4.3884350415485625e+32,4.4522033910415224e+32,0.022336097622150785,0.024601635608447716,1.6248020698715988e+36,1.0854080535270008e+44
355504209601484.8,1436509.5673786704,4.523017356257573e+32,4.5916756352504986e+32,0.02338212884225087,0.02668535162452884,1.6304915824301002e+36,1.1252581525398661e+44
361618750879429.4,1415417.0347707453,4.662978835464196e+32,4.736870151011353e+32,0.024464894312420167,0.02885654370585989,1.6374551747389613e+36,1.1673574886518937e+44
367838460012016.56,1395659.7673849594,4.808603198976461e+32,4.8880992301606845e+32,0.025586076822365186,0.031111803421985558,1.6456065216738894e+36,1.2118437849071036e+44
374165145847553.75,1377158.3876128946,4.960015733846909e+32,5.045513420022752e+32,0.026746285763646675,0.03344572021355893,1.6548667396017856e+36,1.2588116955235914e+44
380600648345873.56,1359830.3903133324,5.117438013083651e+32,5.2093656321301964e+32,0.027946805074478977,0.035853316042166926,1.665160348682964e+36,1.3083895604270112e+44
387146839113437.3,1343652.2986785292,5.280540289872404e+32,5.379334691773689e+32,0.029184736660442273,0.03832070438169289,1.6763743142437453e+36,1.360532287509235e+44
393805621947652.06,1328513.3854823965,5.4498541514016226e+32,5.555997324921776e+32,0.030463743018241805,0.040846535713410605,1.6884488896224516e+36,1.4154691869758497e+44
400578933390533.06,1314352.894633722,5.625519103465534e+32,5.739524952151262e+32,0.03178446719285823,0.043422964225850375,1.701305922219588e+36,1.4733120054897701e+44
407468743291905.8,1301121.6509096546,5.807550653939017e+32,5.929960847952829e+32,0.033146633058503065,0.04603993313167462,1.7148542725825413e+36,1.5341329246212074e+44
414477055382284.3,1288738.0548149394,5.9964834762322695e+32,6.1278938312965225e+32,0.034553839067022196,0.04869435884751056,1.7290395745060908e+36,1.5981820335319334e+44
421605907855613.56,1277178.1363608695,6.192081502266138e+32,6.333109064591964e+32,0.03600389665790575,0.05137194205008516,1.743758662673644e+36,1.6654556102174274e+44
428857373962017.4,1266447.1280857923,6.39337342160442e+32,6.544616748584596e+32,0.03748929950271221,0.054049022972820326,1.7588393866825874e+36,1.7356843284630076e+44
436233562610758.9,1256480.7150061186,6.600488236733619e+32,6.76258133145172e+32,0.03901077264061121,0.05671752622388239,1.7741871687914453e+36,1.8089683620443063e+44
443736618983560.7,1247149.37717986,6.815285906598004e+32,6.988995320157051e+32,0.04058167076722475,0.05939060211955677,1.789835494668454e+36,1.8860362407598947e+44
451368725158485.25,1238286.147585587,7.041588873452403e+32,7.227945845160657e+32,0.04222930832704482,0.06210154341343277,1.8059698021772446e+36,1.968382664547341e+44
459132100744527.56,1230042.686445801,7.275395013251936e+32,7.47527114467556e+32,0.04392388165460322,0.06478851208884351,1.8222247417029e+36,2.0546807797587943e+44
467029003527140.25,1222344.0420489898,7.518101462311692e+32,7.732503840832977e+32,0.045675050933315225,0.06745562933319398,1.838605334544287e+36,2.145552311769216e+44
475061730124851.0,1215195.7925650794,7.768784852676095e+32,7.99871798216269e+32,0.04747567574316171,0.07008097485947327,1.8549595242159602e+36,2.2407627885121e+44
483232616657185.1,1208557.1951681736,8.027896353155076e+32,8.274446319926337e+32,0.049328608675493484,0.07265833930289615,1.871218601263257e+36,2.3405893957437733e+44
491544039424056.0,1202405.3714432193,8.295328155808295e+32,8.559623833344216e+32,0.0512326689758754,0.07517590438877722,1.8872794768275985e+36,2.445100229172653e+44
499998415596861.1,1196646.1503832669,8.574541820344957e+32,8.858008062943597e+32,0.05321198900088197,0.07765356448620152,1.9032382316273158e+36,2.5557868190363195e+44
508598203921452.3,1191287.5110526783,8.864956605361427e+32,9.169064419839326e+32,0.05526171299489515,0.08007187327444891,1.9189601251381504e+36,2.6725971516735293e+44
